topology,policy,injection_rate,power_cap,run_name,converged,latency_avg,control_latency_avg,batch_latency_avg,control_p99,batch_p99,control_throughput,batch_throughput,power_avg,power_peak,freq_avg,freq_min,throughput,elapsed_time,error,batch_nlat_p99,batch_p99_avg,batch_p99_csv,batch_plat_p99,batch_throughput_csv,control_nlat_p99,control_p99_avg,control_p99_csv,control_plat_p99,control_throughput_csv,exit_code,exp_id,summary_batch_p99,summary_control_p99,summary_policy,summary_power_cap,summary_total_power_avg
flatfly,uniform,0.2,0.4,flatfly_uniform_inj0.2_cap0.4,True,21.4524,21.3716,21.4524,72,73,0.0598685,0.140127,0.5706894,0.772392,0.5,0.5,,53.7557418346405,,40,30.2,43,41,7.172459999999999,41,30.7,43,41,3.06657,255,2,40,41,uniform,0.4,0.57069
flatfly,uniform,0.2,0.5,flatfly_uniform_inj0.2_cap0.5,True,20.1645,20.0898,20.1645,70,72,0.0599182,0.140037,0.6173816363636363,0.860099,1.0,1.0,,61.8393337726593,,39,25.636363636363637,43,39,7.331281818181819,39,25.636363636363637,43,39,3.1383454545454543,255,3,39,39,uniform,0.5,0.617382
flatfly,uniform,0.2,0.6,flatfly_uniform_inj0.2_cap0.6,True,17.0037,16.9168,17.0037,37,36,0.0598191,0.140335,0.6718171428571429,0.759278,0.9653899999999997,0.96539,,41.320281744003296,,26,18.428571428571427,28,27,6.410157142857144,26,18.428571428571427,28,26,2.736771428571429,255,4,26,26,uniform,0.6,0.671817
flatfly,uniform,0.2,0.7,flatfly_uniform_inj0.2_cap0.7,True,16.1871,16.0971,16.1871,32,32,0.0597688,0.140384,0.7093331666666667,0.737878,0.9606010000000004,0.960601,,40.99831199645996,,25,19.0,25,25,5.983266666666666,25,19.0,25,25,2.5532833333333333,255,5,25,25,uniform,0.7,0.709333
flatfly,uniform,0.2,0.8,flatfly_uniform_inj0.2_cap0.8,True,15.9234,15.8394,15.9234,30,33,0.0597698,0.140384,0.7187476666666667,0.766151,1.0,1.0,,41.595524072647095,,24,18.666666666666668,24,24,5.983266666666665,24,18.666666666666668,24,24,2.553316666666667,255,6,24,24,uniform,0.8,0.718748
flatfly,uniform,0.2,1.0,flatfly_uniform_inj0.2_cap1.0,True,15.9234,15.8394,15.9234,30,33,0.0597698,0.140384,0.7187476666666667,0.766151,1.0,1.0,,40.43148374557495,,24,18.666666666666668,24,24,5.983266666666665,24,18.666666666666668,24,24,2.553316666666667,255,7,24,24,uniform,1,0.718748
flatfly,uniform,0.4,0.3,flatfly_uniform_inj0.4_cap0.3,True,51.8889,52.0433,51.8889,682,611,0.120166,0.27958,0.49201133333333336,0.71974,0.5,0.5,,72.00320196151733,,167,134.77777777777777,213,168,13.910522222222221,168,124.0,177,168,5.980177777777778,255,8,167,168,uniform,0.3,0.492011
flatfly,uniform,0.4,0.4,flatfly_uniform_inj0.4_cap0.4,True,38.7043,38.7342,38.7043,513,488,0.120056,0.279759,0.5991132857142858,0.731594,0.5,0.5,,113.7518241405487,,151,104.57142857142857,213,152,15.341864285714285,152,97.64285714285714,186,152,6.5855428571428565,255,9,151,152,uniform,0.4,0.599113
flatfly,uniform,0.4,0.5,flatfly_uniform_inj0.4_cap0.5,True,35.5157,35.5764,35.5157,496,639,0.120121,0.279829,0.6733169333333334,0.929251,0.9382059999999997,0.938206,,124.88278985023499,,148,85.73333333333333,177,149,15.516313333333335,149,86.2,179,149,6.662033333333333,255,10,148,149,uniform,0.5,0.673317
flatfly,uniform,0.4,0.6,flatfly_uniform_inj0.4_cap0.6,True,26.6969,26.6378,26.6969,428,475,0.120122,0.27983,0.7161141333333334,0.98409,1.0,1.0,,127.10364699363708,,111,53.666666666666664,166,112,15.516340000000003,112,53.666666666666664,169,112,6.662046666666667,255,11,111,112,uniform,0.6,0.716114
flatfly,uniform,0.4,0.7,flatfly_uniform_inj0.4_cap0.7,True,17.8553,17.6914,17.8553,44,50,0.120148,0.279939,0.7385670000000001,0.757851,0.9209180000000002,0.920918,,53.55838894844055,,29,22.833333333333332,30,30,11.930416666666668,29,22.5,30,29,5.124266666666667,255,12,29,29,uniform,0.7,0.738567
flatfly,uniform,0.4,0.8,flatfly_uniform_inj0.4_cap0.8,True,16.8993,16.7308,16.8993,39,41,0.120152,0.279948,0.7670673333333333,0.814601,1.0,1.0,,50.65684103965759,,27,21.666666666666668,27,27,11.930716666666667,27,21.666666666666668,27,27,5.1244000000000005,255,13,27,27,uniform,0.8,0.767067
flatfly,uniform,0.4,1.0,flatfly_uniform_inj0.4_cap1.0,True,16.899,16.7305,16.899,39,41,0.120152,0.279948,0.7670673333333333,0.814601,1.0,1.0,,50.22676682472229,,27,21.666666666666668,27,27,11.930716666666667,27,21.666666666666668,27,27,5.1244000000000005,255,14,27,27,uniform,1,0.767067
flatfly,uniform,0.6,0.3,flatfly_uniform_inj0.6_cap0.3,True,5248.05,,,,,,,0.5910205,0.768033,0.5,0.5,,25.93258810043335,,,547.5,1058,,13.4049,,594.5,1152,,5.75505,0,15,,,,,
flatfly,uniform,0.6,0.4,flatfly_uniform_inj0.6_cap0.4,True,5520.36,,,,,,,0.599253,0.791352,0.5,0.5,,48.95671200752258,,,662.5,1555,,9.60235,,900.75,2414,,5.489075,0,16,,,,,
flatfly,uniform,0.6,0.5,flatfly_uniform_inj0.6_cap0.5,True,5138.29,,,,,,,0.60513025,0.816227,0.5,0.5,,49.65437388420105,,,654.25,1522,,9.562725,,915.75,2474,,5.4531,0,17,,,,,
flatfly,uniform,0.6,0.6,flatfly_uniform_inj0.6_cap0.6,True,4426.57,,,,,,,0.7255487333333331,1.04022,0.5,0.5,,176.26517295837402,,,931.3125,2183,,18.178968750000003,,1988.6875,7212,,9.21116875,0,18,,,,,
